Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Dangky/Page_Trang ch/i_Lin h nhanh_pe-7s-users""))",Edge Chromium 124,,,05-05-2024 10:52:26,05-05-2024 10:52:26,0.127s,PASSED
"clickOffset(findTestObject(""Dangky/Page_Trang ch/a_ng k ti khon""), 0, 0)",Edge Chromium 124,,,05-05-2024 10:52:26,05-05-2024 10:52:27,0.854s,PASSED
"setText(findTestObject(""Dangky/Page_ng k ti khon/input_H v Tn_FullName""), ""Morri"")",Edge Chromium 124,,,05-05-2024 10:52:27,05-05-2024 10:52:27,0.159s,PASSED
"setText(findTestObject(""Dangky/Page_ng k ti khon/input_a ch Email_Email""), ""morritest@gmail.com"")",Edge Chromium 124,,,05-05-2024 10:52:27,05-05-2024 10:52:27,0.151s,PASSED
"setText(findTestObject(""Dangky/Page_ng k ti khon/input_S in thoi_Phone""), ""0935626852"")",Edge Chromium 124,,,05-05-2024 10:52:27,05-05-2024 10:52:27,0.134s,PASSED
"setText(findTestObject(""Dangky/Page_ng k ti khon/input_Mt khu_Password""), ""1234"")",Edge Chromium 124,,,05-05-2024 10:52:27,05-05-2024 10:52:27,0.130s,PASSED
"setText(findTestObject(""Dangky/Page_ng k ti khon/input_Nhp li mt khu_ConfirmPassword""), ""1234"")",Edge Chromium 124,,,05-05-2024 10:52:27,05-05-2024 10:52:27,0.199s,PASSED
"scrollToPosition(0, 750)",Edge Chromium 124,,,05-05-2024 10:52:27,05-05-2024 10:52:27,0.008s,PASSED
"click(findTestObject(""Dangky/Page_Trang ch/Page_ng k ti khon/button_ng k""))",Edge Chromium 124,,,05-05-2024 10:52:27,05-05-2024 10:52:28,0.710s,PASSED
"verifyElementText(findTestObject(""Dangky/Page_Dashboard/a_Thng tin ti khon""), ""THÔNG TIN TÀI KHOẢN"")",Edge Chromium 124,,,05-05-2024 10:52:28,05-05-2024 10:52:59,31.379s,FAILED
,,,,,,,
Test Cases/Dangky/Dang Ky_TC9,Edge Chromium 124,nhập sai confirm pass,,05-05-2024 10:52:59,05-05-2024 10:53:42,42.902s,FAILED
"openBrowser(""http://www.morricosmetics.somee.com/"")",Edge Chromium 124,,,05-05-2024 10:53:00,05-05-2024 10:53:09,8.989s,PASSED
"click(findTestObject(""Dangky/Page_Trang ch/i_Lin h nhanh_pe-7s-users""))",Edge Chromium 124,,,05-05-2024 10:53:09,05-05-2024 10:53:09,0.106s,PASSED
"clickOffset(findTestObject(""Dangky/Page_Trang ch/a_ng k ti khon""), 0, 0)",Edge Chromium 124,,,05-05-2024 10:53:09,05-05-2024 10:53:10,0.902s,PASSED
"setText(findTestObject(""Dangky/Page_ng k ti khon/input_H v Tn_FullName""), ""Morri"")",Edge Chromium 124,,,05-05-2024 10:53:10,05-05-2024 10:53:10,0.146s,PASSED
"setText(findTestObject(""Dangky/Page_ng k ti khon/input_a ch Email_Email""), ""morritest@gmail.com"")",Edge Chromium 124,,,05-05-2024 10:53:10,05-05-2024 10:53:10,0.137s,PASSED
"setText(findTestObject(""Dangky/Page_ng k ti khon/input_S in thoi_Phone""), ""0935626852"")",Edge Chromium 124,,,05-05-2024 10:53:10,05-05-2024 10:53:10,0.123s,PASSED
"setText(findTestObject(""Dangky/Page_ng k ti khon/input_Mt khu_Password""), ""123456"")",Edge Chromium 124,,,05-05-2024 10:53:10,05-05-2024 10:53:10,0.122s,PASSED
"setText(findTestObject(""Dangky/Page_ng k ti khon/input_Nhp li mt khu_ConfirmPassword""), ""12345"")",Edge Chromium 124,,,05-05-2024 10:53:10,05-05-2024 10:53:10,0.133s,PASSED
"scrollToPosition(0, 750)",Edge Chromium 124,,,05-05-2024 10:53:10,05-05-2024 10:53:10,0.012s,PASSED
"click(findTestObject(""Dangky/Page_Trang ch/Page_ng k ti khon/button_ng k""))",Edge Chromium 124,,,05-05-2024 10:53:10,05-05-2024 10:53:11,0.720s,PASSED
"verifyElementText(findTestObject(""Dangky/Page_Dashboard/a_Thng tin ti khon""), ""THÔNG TIN TÀI KHOẢN"")",Edge Chromium 124,,,05-05-2024 10:53:11,05-05-2024 10:53:42,31.371s,FAILED
